latent_dim,learning_rate,batch_size,dropout_rate,n_hidden_layers,val_loss,train_time_s
8,0.001,64,0.1,3,41.856414794921875,17.508158922195435
32,0.01,128,0.0,2,42.988609313964844,3.7497777938842773
8,0.001,32,0.1,3,44.2617073059082,14.024111032485962
32,0.001,128,0.2,3,44.48759841918945,5.118844747543335
32,0.0001,128,0.1,3,44.67716598510742,9.224653005599976
8,0.001,64,0.2,2,44.74077224731445,5.820897817611694
8,0.0001,128,0.1,2,45.827781677246094,22.793941974639893
8,0.0001,32,0.1,3,46.72314453125,75.29444670677185
16,0.01,64,0.3,1,47.4039192199707,7.620466947555542
8,0.001,32,0.2,2,47.62315368652344,23.732281923294067
16,0.0001,64,0.2,3,48.13995361328125,28.872010946273804
8,0.01,128,0.2,2,48.347747802734375,7.452697992324829
16,0.01,128,0.2,2,49.26830291748047,6.3241941928863525
64,0.01,64,0.0,2,49.489139556884766,8.200144290924072
32,0.01,128,0.1,2,50.43966293334961,7.58202600479126
16,0.01,64,0.2,2,51.7048225402832,11.368108034133911
8,0.0001,64,0.1,3,55.843318939208984,17.363452911376953
8,0.01,32,0.0,3,58.470802307128906,13.808541059494019
8,0.001,128,0.2,3,64.77885437011719,5.529062747955322
32,0.01,64,0.1,3,66.7914810180664,10.710408926010132
64,0.01,64,0.1,2,66.92320251464844,9.523746728897095
8,0.0001,128,0.3,2,67.0015640258789,4.180803060531616
64,0.01,64,0.1,3,67.09809112548828,9.477188110351562
64,0.01,32,0.1,2,67.11445617675781,11.727138757705688
64,0.01,32,0.1,3,67.19310760498047,11.527726173400879
16,0.0001,32,0.2,3,67.1970443725586,10.438889026641846
16,0.01,64,0.3,2,67.3194351196289,9.748045206069946
8,0.01,32,0.3,3,67.42861938476562,18.95228910446167
8,0.001,64,0.3,3,67.43549346923828,5.866896152496338
8,0.0001,64,0.2,3,67.50337982177734,6.440404891967773
64,0.01,64,0.3,3,67.55160522460938,7.958754777908325
8,0.01,128,0.3,2,67.69303894042969,4.490777015686035
32,0.01,32,0.3,3,67.70232391357422,12.64710807800293
32,0.01,32,0.3,2,67.75216674804688,13.181457042694092
